Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,35.929790,35.948769,35.436432,35.569260,33.097019,22384852
2020-10-21,35.436432,35.531307,35.161289,35.180267,32.735065,18984859
2020-10-22,35.180267,35.645161,35.132828,35.512333,33.044048,19243616
2020-10-23,35.986717,36.318787,35.721062,36.223907,33.706169,30557884
2020-10-26,35.929790,36.072105,35.559772,35.977230,33.476635,33783124
2020-10-27,35.142315,36.166985,34.981026,35.512333,33.044048,36851529
2020-10-28,34.914612,35.227703,33.510437,33.633778,31.296066,33857537
2020-10-29,33.662239,33.814041,32.827324,33.472485,31.145979,27545341
2020-10-30,33.434536,33.709679,33.055027,33.662239,31.322548,25631067
2020-11-02,34.089184,34.392788,33.719166,34.373814,31.984663,21430666
2020-11-03,34.563568,34.743832,34.231499,34.335861,31.949345,21636617
2020-11-04,35.161289,36.166985,35.066414,35.417458,32.955765,40870536
2020-11-05,35.341557,35.388992,34.525616,34.525616,32.456299,33926995
2020-11-06,34.525616,34.838711,34.240986,34.535103,32.465221,23870676
2020-11-09,39.715370,39.838711,36.413662,37.191650,34.962547,230153864
2020-11-10,38.377609,38.462997,36.489563,36.698292,34.498760,80091668
2020-11-11,36.888046,38.140415,35.958256,36.527515,34.338215,58980997
2020-11-12,36.318787,36.375713,35.332069,35.626186,33.490910,46767877
2020-11-13,35.929790,36.679317,35.777988,36.641365,34.445244,40175634
2020-11-16,35.920303,36.005692,34.962048,35.417458,33.294689,75530167
2020-11-17,36.490002,36.500000,35.820000,36.040001,33.879925,46984500
2020-11-18,36.930000,37.419998,36.299999,36.320000,34.143139,63442700
2020-11-19,36.599998,36.630001,35.860001,36.189999,34.020931,43261800
2020-11-20,36.700001,37.310001,36.439999,36.700001,34.500366,60633800
2020-11-23,37.029999,37.090000,36.209999,36.520000,34.331154,43673100
2020-11-24,36.130001,36.740002,36.020000,36.599998,34.406353,42485300
2020-11-25,36.529999,36.560001,36.240002,36.529999,34.340549,26955800
2020-11-27,36.779999,37.259998,36.750000,37.230000,34.998596,25277000
2020-11-30,37.950001,38.799999,37.599998,38.310001,36.013866,65425900
2020-12-01,39.400002,40.500000,39.009998,39.410000,37.047935,72499700
2020-12-02,40.470001,41.410000,40.299999,40.799999,38.354626,84347500
2020-12-03,40.980000,41.029999,39.520000,40.090000,37.687183,68570100
2020-12-04,39.889999,40.450001,39.889999,40.340000,37.922195,35368100
2020-12-07,40.660000,41.400002,40.369999,41.250000,38.777653,48253700
2020-12-08,41.400002,42.770000,41.349998,42.560001,40.009140,87039300
2020-12-09,43.070000,43.080002,41.130001,41.849998,39.341694,86118500
2020-12-10,41.820000,42.220001,41.450001,41.730000,39.228886,57749200
2020-12-11,41.970001,42.070000,40.689999,41.119999,38.655453,60737000
2020-12-14,41.619999,41.660000,39.070000,39.209999,36.859928,94809700
2020-12-15,39.060001,39.180000,38.209999,38.709999,36.389889,65712800
2020-12-16,38.180000,38.470001,37.740002,37.840000,35.572033,56515300
2020-12-17,37.830002,38.119999,37.310001,38.029999,35.750645,52036400
2020-12-18,37.990002,38.090000,37.500000,37.680000,35.421623,60259200
2020-12-21,37.279999,37.400002,36.910000,37.380001,35.139603,40891800
2020-12-22,37.209999,37.330002,36.599998,36.740002,34.537964,33634400
2020-12-23,37.009998,37.650002,36.880001,37.439999,35.196007,36182000
2020-12-24,37.400002,37.570000,37.180000,37.270000,35.036201,14790100
2020-12-28,37.360001,37.580002,36.680000,36.820000,34.613171,26993700
2020-12-29,36.900002,37.200001,36.790001,37.049999,34.829384,23152100
2020-12-30,37.029999,37.240002,36.700001,36.740002,34.537964,24889800
2020-12-31,36.660000,36.919998,36.290001,36.810001,34.603767,30796500
2021-01-04,36.869999,36.939999,36.270000,36.810001,34.603767,33565700
2021-01-05,36.720001,37.369999,36.599998,37.189999,34.960995,29909400
2021-01-06,36.830002,37.480000,36.770000,36.869999,34.660175,34962500
2021-01-07,37.040001,37.150002,36.669998,37.060001,34.838783,27809500
2021-01-08,37.160000,37.529999,36.900002,37.130001,34.904587,33462400
2021-01-11,37.220001,37.830002,37.150002,37.770000,35.506226,47286900
2021-01-12,37.700001,37.790001,36.820000,37.180000,34.951591,47831100
2021-01-13,37.000000,37.169998,36.639999,36.860001,34.650776,31027900
2021-01-14,36.779999,36.959999,36.610001,36.750000,34.547367,30272000
2021-01-15,36.680000,36.779999,36.400002,36.700001,34.500366,34287800
2021-01-19,36.759998,37.000000,36.619999,36.730000,34.528568,33451300
2021-01-20,36.790001,36.810001,36.459999,36.500000,34.312344,35400100
2021-01-21,36.389999,36.590000,36.150002,36.480000,34.293552,33829700
2021-01-22,36.320000,36.830002,36.250000,36.549999,34.359356,26271200
2021-01-25,36.549999,37.290001,36.320000,37.279999,35.045597,31728500
2021-01-26,37.270000,37.599998,37.160000,37.310001,35.073807,27718700
2021-01-27,36.990002,37.040001,36.169998,36.240002,34.067932,50561200
2021-01-28,35.950001,36.330002,35.840000,35.860001,34.077435,39466700
2021-01-29,36.880001,36.880001,35.619999,35.900002,34.115452,60251900
2021-02-01,35.930000,36.189999,35.720001,35.799999,34.020420,40395800
2021-02-02,35.759998,35.779999,34.270000,34.990002,33.250683,84062400
2021-02-03,34.990002,35.290001,34.779999,34.840000,33.108139,38524200
2021-02-04,34.810001,35.080002,34.700001,34.889999,33.155655,34284900
2021-02-05,34.919998,35.080002,34.779999,34.919998,33.184162,31749600
2021-02-08,34.959999,35.009998,34.740002,34.820000,33.089134,31633900
2021-02-09,34.799999,35.060001,34.759998,34.970001,33.231682,30170200
2021-02-10,35.000000,35.080002,34.700001,34.740002,33.013111,29039900
2021-02-11,34.799999,34.810001,34.279999,34.430000,32.718525,30885200
2021-02-12,34.439999,34.950001,34.360001,34.720001,32.994106,25578600
2021-02-16,34.849998,34.860001,34.560001,34.689999,32.965595,28730300
2021-02-17,34.570000,35.000000,34.459999,34.889999,33.155655,26389400
2021-02-18,34.779999,34.880001,34.520000,34.560001,32.842060,24052500
2021-02-19,34.660000,34.680000,34.400002,34.439999,32.728020,28145300
2021-02-22,34.330002,34.369999,34.040001,34.259998,32.556969,34322500
2021-02-23,34.000000,34.189999,33.680000,33.910000,32.224365,37624200
2021-02-24,33.869999,34.049999,33.669998,33.750000,32.072323,30686100
2021-02-25,33.820000,34.110001,33.540001,33.820000,32.138836,37506100
2021-02-26,33.840000,33.900002,33.360001,33.490002,31.825247,41462800
2021-03-01,33.590000,33.930000,33.509998,33.689999,32.015305,30407800
2021-03-02,33.680000,33.889999,33.500000,33.509998,31.844252,27670400
2021-03-03,33.509998,34.450001,33.439999,34.389999,32.680508,46020200
2021-03-04,34.259998,35.090000,33.840000,34.200001,32.499954,45449600
2021-03-05,34.290001,34.549999,33.959999,34.389999,32.680508,30589900
2021-03-08,34.480000,34.869999,34.330002,34.349998,32.642494,24352300
2021-03-09,34.540001,34.849998,34.439999,34.450001,32.737526,25167100
2021-03-10,34.639999,35.139999,34.520000,34.930000,33.193665,33501800
2021-03-11,35.070000,35.119999,34.660000,34.709999,32.984604,24557900
2021-03-12,34.560001,34.980000,34.509998,34.939999,33.203163,16342400
2021-03-15,35.009998,35.430000,34.959999,35.410000,33.649803,21896100
2021-03-16,35.470001,35.860001,35.310001,35.830002,34.048931,25022400
2021-03-17,35.830002,35.959999,35.119999,35.790001,34.010918,42540100
2021-03-18,35.529999,35.970001,35.520000,35.770000,33.991913,24729800
2021-03-19,35.750000,35.820000,35.470001,35.529999,33.763840,48348900
2021-03-22,35.480000,36.009998,35.360001,36.000000,34.210480,25427500
2021-03-23,35.820000,35.930000,35.320000,35.360001,33.602291,27970500
2021-03-24,35.480000,35.930000,35.369999,35.610001,33.839874,22883400
2021-03-25,35.650002,35.790001,35.250000,35.669998,33.896881,24875300
2021-03-26,35.680000,36.290001,35.639999,36.250000,34.448051,27944500
2021-03-29,36.029999,36.740002,35.900002,36.619999,34.799656,27004800
2021-03-30,36.590000,36.630001,36.020000,36.110001,34.315010,26303300
2021-03-31,36.150002,36.430000,36.040001,36.230000,34.429050,26582700
2021-04-01,36.299999,36.450001,36.020000,36.299999,34.495564,21319900
2021-04-05,36.439999,36.570000,36.099998,36.279999,34.476559,22096900
2021-04-06,36.259998,36.400002,36.000000,36.049999,34.257996,20722900
2021-04-07,36.029999,36.240002,35.759998,35.910000,34.124950,21933800
2021-04-08,35.959999,36.150002,35.869999,35.959999,34.172462,18129400
2021-04-09,35.900002,36.810001,35.900002,36.599998,34.780647,31686700
2021-04-12,36.480000,37.029999,36.330002,36.970001,35.132259,29944900
2021-04-13,37.410000,37.650002,36.889999,37.160000,35.312817,33967400
2021-04-14,37.169998,37.380001,36.959999,37.169998,35.322319,23842900
2021-04-15,37.259998,37.740002,37.259998,37.599998,35.730946,24945800
2021-04-16,37.869999,38.700001,37.810001,38.570000,36.652729,52829500
2021-04-19,38.599998,38.959999,38.330002,38.930000,36.994831,30905100
2021-04-20,38.750000,39.240002,38.750000,39.029999,37.089859,26459400
2021-04-21,39.139999,39.669998,39.130001,39.529999,37.565002,29365000
2021-04-22,39.480000,39.500000,38.520000,38.639999,36.719246,33373600
2021-04-23,38.630001,38.830002,38.430000,38.660000,36.738255,24375000
2021-04-26,38.730000,38.740002,38.490002,38.680000,36.757259,19773400
2021-04-27,38.509998,38.610001,38.349998,38.450001,36.538689,19061500
2021-04-28,38.540001,38.939999,38.520000,38.810001,36.880798,21963300
2021-04-29,38.990002,39.000000,38.310001,38.599998,36.681232,23569400
2021-04-30,38.500000,38.900002,38.490002,38.650002,36.728745,28413200
